# SIMULATED DATA — generated by swarm-lmd/swarm.py, seed 20260813. Evidence about this model, NOT about the world.
swarm,J,agent,depth,R_from_root,U,d_enc,d_dec,E_UDD,fidelity
0,0.05,2159,3,6.32930084,1.68468822,0.98721027,0.9029157,1.50167659,2.0206376e-05
0,0.05,617,3,6.59906847,1.8168659,0.65895992,0.53930064,0.64567327,4.528682e-06
0,0.05,3855,3,7.25832085,1.17193327,0.93100918,0.85721639,0.9352922,7.977655e-06
0,0.05,1461,3,6.27684309,1.39723284,0.73889682,0.77437889,0.79947721,6.527742e-06
0,0.05,181,3,5.89722568,2.09049869,0.89355488,0.61106093,1.14144672,6.636114e-06
0,0.05,1543,3,7.13181122,6.07477523,0.85317617,0.87876203,4.5544948,4.357308e-06
0,0.05,1455,3,5.70998246,0.59005631,0.49547515,0.50991485,0.14907781,1.664117e-06
0,0.05,2522,3,5.78249857,5.58434628,0.70792152,0.50079042,1.97976417,2.335099e-06
0,0.05,2650,3,6.58921712,0.21841767,0.71691262,0.77001241,0.12057346,7.621846e-06
0,0.05,3554,3,7.74596669,0.66145133,0.66555802,0.91183278,0.40142001,6.851018e-06
0,0.05,1342,3,6.27684309,1.19914282,0.61810599,0.7633519,0.56579442,5.382865e-06
0,0.05,1897,3,6.33197602,0.25176249,0.61557257,0.78272946,0.12130591,5.468e-06
0,0.05,3513,3,7.74596669,1.29899541,0.5391297,0.52916577,0.37058908,1.640208e-06
0,0.05,456,3,6.63266253,1.45448698,0.71379303,0.90837331,0.94307559,1.0779098e-05
0,0.05,466,3,6.33197602,2.20234422,0.74188127,0.8594643,1.40425975,7.236021e-06
0,0.05,2683,3,6.27684309,1.660613,0.75900832,0.89179973,1.12404139,7.722174e-06
0,0.05,2673,3,6.34609934,1.17223157,0.72325901,0.51426868,0.43601089,9.383817e-06
0,0.05,2656,3,6.33197602,0.99014451,0.49243162,0.82013147,0.39987845,4.583181e-06
0,0.05,875,3,6.33197602,3.8587921,0.68507825,0.75242026,1.98907906,5.849762e-06
0,0.05,2509,3,7.13181122,2.34147406,0.74396183,0.80915095,1.40951452,3.034061e-06
0,0.05,197,3,6.63266253,16.2145044,0.41970046,0.85044587,5.78748393,5.933786e-06
0,0.05,878,3,6.63266253,1.36150343,0.6599288,0.67719968,0.60846075,7.4295e-06
0,0.05,2504,3,6.60893087,0.37513279,0.5788098,0.65711808,0.1426804,2.505206e-06
0,0.05,207,3,5.82337324,8.48055051,0.65929309,0.7613097,4.25661071,6.396197e-06
0,0.05,3561,3,6.76373773,0.85211112,0.90519891,0.37823029,0.29174039,5.123303e-06
0,0.05,3530,3,6.27684309,1.64081123,0.78386382,0.47713433,0.61367708,4.266846e-06
0,0.05,445,3,6.84971102,1.20999859,0.84617808,0.59534715,0.60956064,6.12266e-06
0,0.05,1800,3,6.32930084,0.6182961,0.41412338,0.80125743,0.20516266,7.522001e-06
0,0.05,3134,3,6.34609934,1.62147491,0.66536622,0.63573186,0.68587497,1.0671619e-05
0,0.05,649,3,6.60893087,2.54281671,0.77104231,0.63758335,1.2500582,3.238019e-06
0,0.05,658,3,6.27684309,0.31496642,0.39592235,0.73922424,0.09218292,3.338965e-06
0,0.05,2150,3,7.13181122,1.55569684,0.67731058,0.97008663,1.0221705,8.501848e-06
0,0.05,2207,3,5.51986189,0.14487697,0.6943639,0.39721113,0.03995838,3.146547e-06
0,0.05,2201,3,7.74596669,1.0660158,0.83560019,0.6858655,0.61094361,3.294969e-06
0,0.05,3785,3,7.13181122,0.44372537,0.81896862,0.86101006,0.3128886,1.3317329e-05
0,0.05,216,3,6.33197602,0.62909097,0.54365174,0.56080861,0.19180014,3.459975e-06
0,0.05,222,3,7.13181122,0.14863119,0.97636044,0.87721304,0.12729906,1.6778283e-05
0,0.05,204,3,6.74973072,0.18194791,0.59803025,0.5410124,0.05886775,5.543115e-06
0,0.05,3647,3,5.52970454,1.00022824,0.68827864,0.74904854,0.51567179,5.881661e-06
0,0.05,398,3,5.28591678,0.28966339,0.75099345,0.82683284,0.17986534,1.032285e-05
0,0.05,2897,3,6.84971102,1.1539437,0.8859979,0.85915923,0.87839726,9.251549e-06
0,0.05,3339,3,6.66577283,0.35623391,0.59521589,0.52885341,0.11213601,5.213586e-06
0,0.05,51,3,6.33197602,1.24104977,0.60676036,0.74325995,0.55968946,5.117944e-06
0,0.05,553,3,6.27684309,1.25424147,0.83478675,0.72058155,0.75446629,6.862532e-06
0,0.05,3422,3,6.33197602,0.79651384,0.96248582,0.34806787,0.26684041,3.801857e-06
0,0.05,1273,3,6.57049318,1.54179173,0.86037554,0.86717912,1.15033035,9.704864e-06
0,0.05,1224,3,6.27684309,0.49843467,0.84311675,0.73876856,0.31045908,7.105945e-06
0,0.05,585,3,6.63266253,0.29363568,0.80722745,0.58103395,0.13772293,7.797281e-06
0,0.05,1911,3,7.13181122,0.83641364,0.79822645,0.81824969,0.54630235,3.291971e-06
0,0.05,552,3,6.66577283,0.95638027,0.68385705,0.79752412,0.52160262,9.033079e-06
0,0.05,2033,3,6.33197602,12.14784042,0.71369728,0.83223546,7.21538213,6.740589e-06
0,0.05,898,3,5.59236363,0.83170802,0.53633974,0.61317418,0.27352355,3.751885e-06
0,0.05,918,3,5.79501116,3.45400493,0.58454952,0.84602399,1.70815369,8.190882e-06
0,0.05,146,3,5.8649461,1.24682627,0.87432359,0.58771429,0.64068476,6.683917e-06
0,0.05,59,3,7.13181122,0.44480317,0.57707768,0.89009454,0.22847479,6.646383e-06
0,0.05,55,3,7.13181122,0.21432196,0.40412546,0.92029937,0.07970985,7.583508e-06
0,0.05,933,3,6.66577283,1.65964249,0.69020901,0.77794028,0.89113075,8.893108e-06
0,0.05,40,3,6.33197602,1.2863892,0.94802661,0.86185031,1.05105332,9.272352e-06
0,0.05,31,3,7.13181122,0.43941104,0.8413203,0.73687174,0.27241075,3.124621e-06
0,0.05,32,3,6.32930084,0.40756316,0.91368172,0.86724574,0.32294758,1.7962578e-05
0,0.05,36,3,6.62675566,13.71481538,0.43872064,0.90125176,5.42280717,3.085744e-06
0,0.05,24,3,7.52772653,3.13266046,0.76751437,0.80748632,1.94148934,3.798889e-06
0,0.05,39,3,6.32930084,6.46123963,0.81424198,0.55087003,2.89813411,1.0167969e-05
0,0.05,797,3,7.13181122,2.07420408,0.80955544,0.6975123,1.17125094,2.84605e-06
0,0.05,792,3,6.32930084,5.78305972,0.66639085,0.57060821,2.19899739,8.619828e-06
0,0.05,768,3,7.13181122,1.13209182,0.87200879,0.77546858,0.76553794,1.3246993e-05
0,0.05,767,3,6.84971102,2.71498068,0.51567509,0.77854244,1.08999672,4.879402e-06
0,0.05,3719,3,6.27684309,0.63051468,0.60987865,0.89299096,0.34338846,6.213212e-06
0,0.05,1069,3,6.33197602,3.13201305,0.81402438,0.88770359,2.26323137,8.200549e-06
0,0.05,850,3,6.63266253,1.17514347,0.55603724,0.7663467,0.50074896,7.083941e-06
0,0.05,250,3,7.13181122,0.07344808,0.81622579,0.39553963,0.02371269,6.583019e-06
0,0.05,999,3,5.88656169,0.13969964,0.63908377,0.66948402,0.05977138,7.977601e-06
0,0.05,2475,3,5.55952132,1.48859692,0.41098483,0.79337757,0.48538106,7.39158e-06
0,0.05,1006,3,6.66577283,0.36074992,0.77179082,0.70399932,0.19600994,8.999088e-06
0,0.05,1012,3,5.66680004,0.45851911,0.96729343,0.87121354,0.38640283,9.563578e-06
0,0.05,1753,3,6.60893087,0.96802815,0.77025274,0.57873571,0.43152059,2.936147e-06
0,0.05,1708,3,6.66577283,1.87089966,0.95817231,0.70609522,1.26577754,1.120556e-05
0,0.05,3643,3,7.13181122,10.4581629,0.9204373,0.85625395,8.24237181,1.5439351e-05
0,0.05,242,3,5.60044287,0.68134433,0.90630047,0.67580043,0.41730858,6.950695e-06
0,0.05,680,3,6.84971102,1.96566627,0.76236562,0.74338535,1.11400488,6.887878e-06
0,0.05,387,3,6.27684309,1.14264854,0.54498343,0.87620258,0.54563283,5.447704e-06
0,0.05,377,3,6.33197602,0.52987343,0.86018396,0.55775512,0.25421844,5.444681e-06
0,0.05,358,3,6.27684309,3.80266184,0.57870847,0.7298293,1.60608616,4.818444e-06
0,0.05,750,3,7.13181122,1.20208925,0.73584282,0.90291341,0.79867091,1.4308874e-05
0,0.05,1740,3,6.32930084,0.68510448,0.71218497,0.79275816,0.38680345,1.2798677e-05
0,0.05,723,3,7.13181122,0.25654906,0.84655779,0.894275,0.19422187,3.815679e-06
0,0.05,1731,3,7.13181122,0.44215762,0.67143087,0.60676482,0.18013529,5.27153e-06
0,0.05,1043,3,6.33197602,4.37416069,0.8374053,0.76907231,2.81706983,7.308705e-06
0,0.05,1046,3,6.84971102,4.70157893,0.66988154,0.7002345,2.20538921,5.700982e-06
0,0.05,808,3,5.85910663,0.2739612,0.80561852,0.90522759,0.19979117,1.930346e-06
0,0.05,811,3,7.13181122,1.97895102,0.61887033,0.89602426,1.09737352,1.1306917e-05
0,0.05,336,3,7.13181122,0.78242332,0.47985611,0.77429014,0.29070771,8.001825e-06
0,0.05,2394,3,7.13181122,0.69323844,0.51468048,0.87324318,0.31156993,2.265254e-06
0,0.05,328,3,6.66577283,1.47118469,0.84348354,0.71347644,0.88536722,9.967424e-06
0,0.05,333,3,6.32930084,0.3556025,0.95496873,0.92974586,0.31573171,2.0127274e-05
0,0.05,1533,3,7.74596669,1.04103647,0.81665675,0.70342689,0.59803206,3.521222e-06
0,0.05,1473,3,6.79359362,4.36564051,0.92410613,0.44308657,1.78755085,7.634573e-06
0,0.05,1489,3,6.79359362,2.63057112,0.75487098,0.96117429,1.90864396,1.3528485e-05
0,0.05,1496,3,6.34609934,9.59273856,0.53435916,0.86458569,4.43183836,1.1655661e-05
0,0.05,28,3,5.60050225,1.63735789,0.62123712,0.6014166,0.61175345,8.469629e-06
0,0.05,1678,3,6.79359362,0.36792518,0.55375684,0.69316412,0.14122601,7.156975e-06
0,0.05,49,3,5.91845978,0.05263043,0.50119845,0.97537852,0.02572882,8.096729e-06
0,0.05,1526,3,7.13181122,0.53554533,0.82834149,0.79052547,0.35068849,3.300421e-06
0,0.05,2924,3,5.55931507,0.63261524,0.28220349,0.67560272,0.1206128,4.810048e-06
0,0.05,104,3,6.32930084,0.78036493,0.98185875,0.59756349,0.45785801,1.3300398e-05
0,0.05,91,3,6.74973072,0.23198558,0.75234091,0.7004424,0.12224978,9.028397e-06
0,0.05,95,3,5.25925205,2.26525093,0.74941575,0.57206597,0.97114762,4.865265e-06
0,0.05,125,3,6.59906847,0.66407632,0.90412145,0.6678294,0.40096854,7.694391e-06
0,0.05,100,3,6.32930084,0.26378422,0.73568294,0.57819329,0.11220509,9.642625e-06
0,0.05,111,3,7.13181122,0.10745677,0.25490136,0.73943539,0.02025378,1.09542e-06
0,0.05,79,3,6.33197602,0.28964878,0.5806342,0.48719617,0.08193665,3.210288e-06
0,0.05,11,3,5.66530556,2.92889436,0.86213308,0.576439,1.45556422,1.1265727e-05
0,0.05,12,3,7.52772653,2.06551986,0.54878369,0.81143626,0.91978216,2.729547e-06
0,0.05,1509,4,7.76356727,2.79113181,0.90252334,0.83185836,2.09550245,4.16702e-07
0,0.05,68,4,7.74984188,0.36757284,0.60218335,0.89506371,0.19811899,2.60974e-07
0,0.05,69,4,7.74984188,0.98247121,0.69248035,0.71014316,0.48314022,2.38105e-07
0,0.05,71,4,7.21773421,1.4929141,0.47933633,0.95857468,0.68596367,2.46494e-07
0,0.05,77,4,8.75595036,3.07289797,0.83997606,0.9096123,2.34785553,1.38217e-07
0,0.05,78,4,7.74984188,0.05724007,0.40832833,0.62430239,0.01459166,2.18049e-07
0,0.05,80,4,7.21773421,0.66597823,0.37678813,0.79310043,0.19901483,1.60312e-07
0,0.05,103,4,8.16496581,0.74641941,0.60185131,0.70605824,0.31718501,7.6872e-08
0,0.05,108,4,7.99461635,0.80134073,0.42888091,0.81104537,0.27873987,5.1112e-08
0,0.05,109,4,7.99461635,0.39919171,0.70563234,0.21986951,0.06193341,2.2797e-08
0,0.05,114,4,7.74984188,0.53183044,0.54305925,0.73076056,0.21105493,1.92149e-07
0,0.05,116,4,7.99461635,1.45492074,0.75457014,0.66027146,0.72487226,7.3209e-08
0,0.05,90,4,7.16698162,0.41309119,0.2486915,0.83316269,0.08559269,8.3567e-08
0,0.05,94,4,7.99461635,0.57818155,0.58852124,0.8969533,0.3052082,7.7566e-08
0,0.05,99,4,7.99461635,0.13232173,0.68638048,0.47376448,0.04302873,4.7782e-08
0,0.05,102,4,6.90360283,1.48311654,0.76979673,0.67128055,0.76639984,1.1972e-07
0,0.05,126,4,7.97168142,0.60158519,0.21676574,0.65571562,0.08550732,5.2079e-08
0,0.05,3918,4,7.99461635,5.17895826,0.66290486,0.73480501,2.52270065,7.1575e-08
0,0.05,128,4,7.99461635,0.38213813,0.60108486,0.60943421,0.13998548,5.3827e-08
0,0.05,132,4,8.75595036,5.14901497,0.9227551,0.71584222,3.40116667,8.5857e-08
0,0.05,2569,4,7.97984757,0.32790288,0.62898684,0.73769731,0.15214756,6.4875e-08
0,0.05,2537,4,7.74984188,2.45417982,0.98210747,0.64910775,1.56452385,2.61671e-07
0,0.05,2538,4,7.70705905,1.26478586,0.71209513,0.82388589,0.74203105,1.91721e-07
0,0.05,1493,4,7.34245707,1.24304669,0.88329413,0.9132857,1.00276563,2.45705e-07
0,0.05,123,4,8.75595036,0.09706172,0.6761618,0.53760277,0.03528256,6.5758e-08
0,0.05,1515,4,8.02698744,0.20692854,0.67028501,0.82412786,0.11430744,2.33931e-07
0,0.05,1522,4,7.74984188,3.66515771,0.75973942,0.91419991,2.54564891,2.85092e-07
0,0.05,1528,4,7.70705905,5.55849198,0.69268651,0.55900249,2.15232304,9.9253e-08
0,0.05,1472,4,7.74984188,0.83886996,0.83209739,0.9777054,0.68245939,5.15261e-07
0,0.05,13,4,7.21773421,0.32190732,0.21583744,0.93195567,0.06475196,1.0791e-07
0,0.05,45,4,8.16496581,0.46752354,0.77960794,0.62881096,0.2291922,6.3719e-08
0,0.05,47,4,7.99461635,8.05115954,0.91612279,0.79100508,5.8343354,1.06481e-07
0,0.05,302,4,7.99951325,0.19029306,0.26500708,0.95549227,0.04818453,7.1548e-08
0,0.05,310,4,7.75202685,3.66283346,0.30082395,0.65324169,0.71978613,8.6767e-08
0,0.05,313,4,8.75595036,0.86477205,0.70243968,0.39384907,0.2392437,5.0047e-08
0,0.05,318,4,7.16698162,9.40986144,0.89332125,0.86515758,7.27253984,3.11708e-07
0,0.05,1719,4,8.02698744,0.81470674,0.77501385,0.78977356,0.49867014,2.9052e-07
0,0.05,2326,4,7.75202685,1.35506722,0.76418836,0.50528351,0.52323451,6.3469e-08
0,0.05,830,4,8.75595036,0.81229812,0.93117054,0.36092557,0.2729998,6.0797e-08
0,0.05,268,4,7.75202685,0.34845638,0.52560451,0.81463569,0.14920073,7.0379e-08
0,0.05,278,4,7.16698162,1.27203895,0.89392923,0.84867376,0.9650378,3.05977e-07
0,0.05,284,4,7.74984188,1.02671631,0.78489167,0.57058179,0.45980966,2.16842e-07
1,0.086203,0,0,0.0,0.96993445,0.70813747,0.40371723,0.27729194,0.285887299356
1,0.086203,147,1,2.94964789,0.76901112,0.94052289,0.32250423,0.23325846,0.006881920803
1,0.086203,324,1,3.40596,0.4135605,0.66597242,0.75882941,0.20899671,0.011465824674
1,0.086203,48,1,2.94964789,0.19372611,0.76562161,0.76746237,0.11383071,0.013331412429
1,0.086203,7,1,3.40596,0.5506848,0.44371918,0.92969098,0.22716944,0.009359479953
1,0.086203,18,1,2.79792533,1.86254428,0.78144315,0.65486647,0.95314012,0.011610610034
1,0.086203,13,1,3.17479252,0.35380381,0.64655571,0.74435109,0.17027319,0.01091914599
1,0.086203,1,1,3.40596,0.2164344,0.86985896,0.58969371,0.1110201,0.011638050239
1,0.086203,4,1,2.86075311,0.90323017,0.7941216,0.74856991,0.53693017,0.013487276793
1,0.086203,3,1,3.40596,0.16956629,0.81478844,0.70467524,0.09735839,0.013026830504
1,0.086203,2,1,3.04233575,0.51797343,0.6796414,0.82727097,0.29122932,0.012756528373
1,0.086203,9,1,2.44332585,1.77538094,0.51136517,0.80756308,0.73316067,0.009369415464
1,0.086203,5,1,3.16210359,0.64616938,0.42834945,0.92291465,0.25545013,0.008969425994
1,0.086203,8,1,2.58116275,2.40827478,0.53884727,0.89177241,1.15724618,0.01090246278
1,0.086203,38,2,4.273519,0.54378373,0.42703344,0.65198331,0.15139954,0.000240897893
1,0.086203,26,2,3.35359262,0.34155422,0.53142755,0.69677616,0.12647276,0.000275334019
