package,depth,U_versions,months_since_release,D_enc_release_hygiene,D_dec_pin_clarity,n_requires,E_indegree
safehttpx,1,5,9.0,0.571393,0.0,1,1
semantic-version,1,26,49.97,0.193651,0.5,0,1
tomlkit,1,56,0.26,0.978568,0.5,0,4
gitpython,1,109,0.0,1.0,1.0,2,1
pydeck,1,41,0.76,0.940764,1.0,2,1
protobuf,1,218,0.53,0.958036,0.5,0,10
tenacity,1,61,5.52,0.684968,0.5,0,6
toml,1,16,68.73,0.148652,0.5,0,2
httptools,1,27,2.0,0.856902,0.5,0,2
websockets,1,50,0.26,0.978568,0.5,0,5
watchdog,1,54,20.73,0.366644,0.5,0,2
retrying,1,18,11.7,0.506433,0.5,0,1
nest-asyncio,1,36,30.09,0.28509,0.5,0,1
janus,1,21,19.35,0.382781,0.5,0,1
comm,1,10,11.99,0.500192,0.5,0,3
agate,1,41,4.86,0.711658,1.0,7,3
daff,1,60,14.68,0.449697,0.5,0,1
dbt-adapters,1,85,0.33,0.973353,1.0,7,1
dbt-common,1,62,2.69,0.81667,1.0,13,2
dbt-core-experimental-parser,1,10,0.16,0.986497,0.5,0,1
dbt-extractor,1,8,15.57,0.43523,0.5,0,1
dbt-protos,1,35,0.59,0.953037,1.0,1,3
mashumaro,1,94,1.97,0.858916,1.0,1,3
metricflow,1,94,2.46,0.829654,1.0,12,1
python-dotenv,1,50,4.8,0.714442,0.5,0,3
snowplow-tracker,1,33,17.05,0.413082,1.0,2,1
mistune,1,56,0.1,0.991854,0.0,1,2
ruamel-yaml,1,273,6.7,0.641653,0.5,0,2
aiosqlite,1,28,7.03,0.630576,0.5,0,2
amplitude-analytics,1,21,3.81,0.758976,0.5,0,1
apprise,1,72,0.69,0.945635,0.142857,7,1
asgi-lifespan,1,15,39.91,0.231149,0.0,1,1
asyncpg,1,43,7.98,0.600513,1.0,1,1
cachetools,1,74,0.07,0.994555,0.5,0,2
cloudpickle,1,42,8.67,0.580473,0.5,0,3
coolname,1,13,3.06,0.797067,0.5,0,1
cyclopts,1,149,0.03,0.99727,1.0,6,1
dateparser,1,35,1.31,0.901303,1.0,4,1
docker,1,66,0.53,0.958036,1.0,3,1
graphviz,1,59,13.3,0.474217,0.5,0,1
griffe,1,152,1.18,0.910287,1.0,2,1
httpcore,1,64,15.01,0.444228,0.5,2,2
humanize,1,58,0.82,0.935943,0.5,0,3
jinja2-humanize-extension,1,8,34.76,0.256647,0.5,2,1
jsonpatch,1,42,36.96,0.245108,1.0,1,2
opentelemetry-api,1,84,0.3,0.975954,1.0,1,6
pendulum,1,57,5.78,0.674845,1.0,2,1
prometheus-client,1,60,0.03,0.99727,0.5,0,3
pydantic-core,1,156,2.1,0.850913,1.0,1,3
pydantic-extra-types,1,24,3.65,0.766944,0.5,2,1
pydantic-settings,1,44,1.18,0.910287,1.0,3,1
pydocket,1,83,0.16,0.986497,1.0,15,1
python-slugify,1,47,29.5,0.289152,1.0,1,2
readchar,1,40,3.61,0.768557,0.5,0,1
rfc3339-validator,1,5,62.42,0.161252,0.0,1,2
ruamel-yaml-clib,1,16,8.25,0.592718,0.5,0,1
semver,1,47,17.97,0.400403,0.5,0,2
sniffio,1,6,28.94,0.293096,0.5,0,5
whenever,1,81,0.26,0.978568,1.0,2,1
python-daemon,1,47,19.68,0.378811,1.0,1,2
cssselect,1,21,5.81,0.6736,0.5,0,2
defusedxml,1,13,33.84,0.261797,0.5,0,3
itemadapter,1,25,6.5,0.648487,0.5,0,2
itemloaders,1,14,5.81,0.6736,1.0,3,1
lxml,1,127,1.25,0.905773,0.5,0,3
parsel,1,26,5.81,0.6736,1.0,5,2
protego,1,15,0.99,0.924104,0.5,0,1
pydispatcher,1,11,41.2,0.225582,0.5,0,1
pyopenssl,1,46,1.41,0.89468,1.0,2,1
pypydispatcher,1,5,108.71,0.099415,0.5,0,1
queuelib,1,16,5.81,0.6736,0.5,0,1
service-identity,1,12,1.84,0.867072,1.0,2,1
tldextract,1,65,6.87,0.636066,0.75,4,1
twisted,1,111,2.46,0.829654,1.0,7,1
w3lib,1,39,4.17,0.742017,0.5,0,2
