orf,E_essential,U,D_enc,D_dec,D,D_dec_raw
YDL229W,0,44,0.17019027484143764,0.006561532920012601,0.0011167090910380855,0.001241446027195496
YBR101C,0,31,0.2645161290322581,0.0005497672370769357,0.00014542230142035073,0.00010401629629408238
YBL069W,0,1,0.0,0.0,0.0,0.0
YLL026W,0,25,0.14666666666666667,0.0050616318662870885,0.0007423726737221064,0.000957663833760993
YPL240C,0,85,0.12044817927170869,0.03411803965737937,0.004109455757051296,0.006455153895390448
YJR147W,0,17,0.7279411764705882,5.651289323909431e-05,4.113806199022306e-05,1.0692273840921629e-05
YNL077W,0,9,0.4722222222222222,8.673287013968324e-05,4.0957188677072644e-05,1.6409911887170088e-05
YKL209C,0,5,0.2,8.752373828773194e-05,1.750474765754639e-05,1.6559544622751735e-05
YMR186W,0,87,0.08473670141673349,0.042279918959636474,0.0035826608688064054,0.007999386433389629
YHR206W,0,27,0.3076923076923077,0.0020265984349149735,0.0006235687492046072,0.00038343365893544465
YLR256W,0,6,0.26666666666666666,4.6864801468819185e-05,1.2497280391685116e-05,8.8668489982459e-06
YAL012W,0,9,0.1111111111111111,0.0018765290568460524,0.00020850322853845026,0.00035504044114953085
YBR181C,0,333,0.3915481746807048,0.02124121152469756,0.00831695760050208,0.004018850165290999
YIL016W,0,16,0.24166666666666667,0.0010701391370255154,0.00025861695811449955,0.00020247097688937474
YML028W,0,25,0.07,0.013345532929708807,0.0009341873050796166,0.0025249829633350145
YNL131W,1,43,0.31561461794019935,0.006096651914453537,0.001924192464694638,0.0011534902576359586
YDR510W,1,74,0.048130322102924845,0.02983992662954744,0.0014362052802077629,0.005645732303357189
YHR200W,0,105,0.226007326007326,0.02165381947311841,0.004893921836964857,0.004096915840583742
YCL028W,0,9,0.2777777777777778,0.0001498353657969859,4.16209349436072e-05,2.834894252145196e-05
YPR010C,1,59,0.3489187609585038,0.009848201493280551,0.003436222262705137,0.001863285724219214
YOR197W,0,24,0.08695652173913043,0.004605533021872427,0.0004004811323367328,0.0008713696544420008
YGL123W,1,358,0.3291238283022706,0.030981542777949223,0.010196763965789212,0.00586172677435847
YNL229C,0,10,0.15555555555555556,0.0021424745221580795,0.0003332738145579235,0.0004053574852590405
YKL145W,1,62,0.5304071919619249,0.0035830321914974046,0.0019004660434013203,0.0006779118742026341
YBR169C,0,21,0.3047619047619048,0.0011645551756772484,0.0003549120535397329,0.00022033454894130084
YOR140W,0,23,0.40711462450592883,0.0012218838069636302,0.0004974467672618732,0.0002311811609178963
YGL181W,0,14,0.14285714285714285,0.005497986212863064,0.0007854266018375805,0.0010402223420562149
